,54_feats_10.12_rmse,104_feats_4.23_rmse
ECCEN_110,0,1
ECCEN_118,0,0
ECCEN_121,0,0
ECCEN_123,0,0
ECCEN_129,0,0
ECCEN_137,0,0
ECCEN_179,0,0
ECCEN_191,0,0
ECCEN_195,0,0
ECCEN_216,0,0
ECCEN_219,0,0
ECCEN_219*nHBDon_Lipinski_2,0,0
ECCEN_226,0,0
ECCEN_227,0,1
ECCEN_234,0,0
ECCEN_237,0,0
ECCEN_255,0,0
ECCEN_296,0,0
ECCEN_298,0,0
ECCEN_308,0,0
ECCEN_313,0,0
ECCEN_315,0,0
ECCEN_322,0,0
ECCEN_323,0,0
ECCEN_328,0,0
ECCEN_341,0,0
ECCEN_346,0,0
ECCEN_357,0,0
ECCEN_359,0,0
ECCEN_374,0,0
ECCEN_374*MPC8_120,0,0
ECCEN_376,0,0
ECCEN_387,0,0
ECCEN_394,0,0
ECCEN_395,0,0
ECCEN_449,0,0
ECCEN_466,0,0
ECCEN_468,0,0
ECCEN_500,0,0
ECCEN_502,0,0
ECCEN_502*MPC8_120,0,0
ECCEN_504,0,0
ECCEN_512,0,0
ECCEN_527,0,0
ECCEN_531,0,0
ECCEN_545,0,0
ECCEN_547,0,0
ECCEN_560,0,0
ECCEN_578,0,0
ECCEN_604,0,0
ECCEN_620,0,0
ECCEN_693,0,0
ECCEN_79,0,0
ECCEN_800,0,0
ECCEN_93,0,0
ECCEN_96,0,0
ECCEN_97,0,0
EE_D,0,0
EE_D*WPOL_34,0,0
EE_Dt,0,0
EE_DzZ,0,0
EE_Dze,0,0
EE_Dzi,0,0
EE_Dzm,0,0
EE_Dzp,0,0
EE_Dzs,0,0
EE_Dzv,0,0
ETA_Alpha,0,0
ETA_AlphaP,0,0
ETA_Beta,0,0
ETA_BetaP,0,0
ETA_BetaP_ns,0,0
ETA_BetaP_ns_d,0,0
ETA_BetaP_s,0,0
ETA_Beta_ns,0,0
ETA_Beta_ns_d,0,0
ETA_Beta_s,0,0
ETA_Epsilon_1,0,0
ETA_Epsilon_2,0,0
ETA_Epsilon_3,0,0
ETA_Epsilon_4,0,0
ETA_Epsilon_5,0,0
ETA_Eta,0,0
ETA_EtaP,0,0
ETA_EtaP_B,0,0
ETA_EtaP_B_RC,0,0
ETA_EtaP_F,0,0
ETA_EtaP_F_L,0,0
ETA_EtaP_L,0,0
ETA_Eta_B,0,0
ETA_Eta_B_RC,0,0
ETA_Eta_F,0,0
ETA_Eta_F_L,0,0
ETA_Eta_L,0,0
ETA_Eta_R,0,0
ETA_Eta_R_L,0,0
ETA_Psi_1,0,0
ETA_Shape_P,1,0
ETA_Shape_X,0,0
ETA_Shape_Y,0,0
ETA_dAlpha_A,0,0
ETA_dAlpha_B,0,0
ETA_dBeta,0,0
ETA_dBetaP,0,0
ETA_dEpsilon_A,0,0
ETA_dEpsilon_B,0,0
ETA_dEpsilon_C,0,0
ETA_dEpsilon_D,1,0
ETA_dPsi_A,0,0
ETA_dPsi_B,0,0
FMF,0,0
GATS1c,0,0
GATS1e,0,0
GATS1i,0,0
GATS1m,0,0
GATS1p,0,0
GATS1s,0,0
GATS1v,0,0
GATS2c,0,0
GATS2e,0,0
GATS2i,0,0
GATS2m,0,0
GATS2p,0,0
GATS2s,0,0
GATS2v,0,1
GATS3c,0,0
GATS3e,0,0
GATS3i,0,0
GATS3m,0,0
GATS3p,0,0
GATS3s,0,0
GATS3v,0,0
GATS4c,0,0
GATS4c*nBr_0,0,0
GATS4c*nsBr_0,0,0
GATS4e,0,0
GATS4i,0,0
GATS4m,0,0
GATS4p,0,0
GATS4s,0,0
GATS4v,0,0
GATS5c,0,0
GATS5e,0,0
GATS5i,0,0
GATS5m,0,0
GATS5p,0,0
GATS5s,0,0
GATS5v,0,0
GATS6c,0,0
GATS6e,0,0
GATS6i,0,0
GATS6m,0,0
GATS6p,0,0
GATS6s,0,0
GATS6v,0,0
GATS7c,0,0
GATS7e,0,0
GATS7i,0,0
GATS7m,0,0
GATS7p,0,0
GATS7s,0,0
GATS7v,0,0
GATS8c,0,0
GATS8e,0,0
GATS8i,0,0
GATS8m,0,0
GATS8p,0,0
GATS8s,0,0
GATS8v,1,0
GGI1,0,0
GGI10,0,1
GGI2,0,0
GGI3,0,0
GGI4,0,0
GGI5,0,0
GGI6,0,0
GGI7,0,0
GGI8,1,0
GGI9,0,0
HybRatio,0,0
IC0,0,0
IC1,1,0
IC2,0,0
IC3,0,0
IC4,0,0
IC5,0,0
JGI1,0,0
JGI10,0,1
JGI2,1,0
JGI3,0,0
JGI4,0,1
JGI5,0,0
JGI6,0,0
JGI7,0,0
JGI8,0,0
JGI9,0,0
JGT,0,0
Kier1,0,0
Kier2,0,0
Kier3,0,0
LipinskiFailures_0,0,1
LipinskiFailures_1,0,1
LipoaffinityIndex,0,0
MATS1c,0,1
MATS1e,0,1
MATS1i,0,0
MATS1m,0,0
MATS1p,0,0
MATS1s,0,0
MATS1v,0,0
MATS2c,0,1
MATS2e,0,0
MATS2i,0,0
MATS2m,0,0
MATS2p,0,0
MATS2s,0,0
MATS2v,0,0
MATS3c,0,0
MATS3e,0,0
MATS3i,0,0
MATS3m,0,0
MATS3p,0,0
MATS3s,0,0
MATS3v,0,0
MATS4c,0,1
MATS4e,0,0
MATS4i,0,0
MATS4m,0,1
MATS4m*GATS1m,0,1
MATS4m*JGI2,0,1
MATS4m*nBr_0,0,0
MATS4m*nHBDon_Lipinski_0,0,0
MATS4m*nHBd_0,0,0
MATS4m*nX_0,0,1
MATS4m*nX_1,0,0
MATS4m*nsBr_0,0,0
MATS4p,0,0
MATS4s,0,0
MATS4v,0,0
MATS5c,0,0
MATS5e,0,0
MATS5i,0,0
MATS5m,0,0
MATS5p,0,0
MATS5s,0,0
MATS5v,0,0
MATS6c,0,0
MATS6e,0,0
MATS6i,0,0
MATS6m,0,0
MATS6p,0,0
MATS6s,0,0
MATS6v,0,0
MATS7c,0,0
MATS7e,0,0
MATS7i,0,1
MATS7m,0,0
MATS7p,0,0
MATS7s,0,0
MATS7v,0,0
MATS8c,0,0
MATS8e,0,0
MATS8i,0,0
MATS8m,0,0
MATS8p,0,0
MATS8s,0,0
MATS8v,0,0
MAXDN,0,0
MAXDN2,0,0
MAXDP,0,0
MAXDP2,0,0
MDEC-11,0,0
MDEC-12,0,0
MDEC-13,0,0
MDEC-14,0,0
MDEC-22,0,0
MDEC-23,0,0
MDEC-24,0,0
MDEC-33,0,0
MDEC-34,0,0
MDEC-44,0,0
MDEN-11,1,0
MDEN-12,0,1
MDEN-13,0,0
MDEN-22,0,0
MDEN-23,0,0
MDEN-33,0,1
MDEO-11,0,0
MDEO-12,0,0
MDEO-22,0,0
MIC0,0,0
MIC1,0,0
MIC2,0,0
MIC3,0,0
MIC4,0,0
MIC5,0,0
MLFER_A,0,0
MLFER_BH,0,0
MLFER_BO,0,0
MLFER_E,0,0
MLFER_L,0,0
MLFER_S,0,0
MLogP,0,0
MPC10_0,0,0
MPC10_1,0,0
MPC10_100,0,0
MPC10_102,0,0
MPC10_104,0,0
MPC10_110,0,0
MPC10_114,0,0
MPC10_116,0,0
MPC10_12,0,0
MPC10_124,0,0
MPC10_125,0,0
MPC10_126,0,0
MPC10_132,0,0
MPC10_134,0,0
MPC10_136,0,0
MPC10_139,0,0
MPC10_142,0,0
MPC10_152,0,0
MPC10_172,0,0
MPC10_175,0,0
MPC10_2,0,0
MPC10_222,0,0
MPC10_23,0,0
MPC10_258,0,0
MPC10_3,0,0
MPC10_32,0,0
MPC10_36,0,0
MPC10_4,0,0
MPC10_44,0,0
MPC10_44*nHBDon_Lipinski_2,0,0
MPC10_46,0,0
MPC10_48,0,0
MPC10_52,0,0
MPC10_6,0,0
MPC10_69,0,0
MPC10_72,0,0
MPC10_77,0,0
MPC10_8,0,0
MPC10_86,0,0
MPC10_93,0,0
MPC10_95,0,0
MPC2_12,0,0
MPC2_14,0,0
MPC2_15,0,0
MPC2_16,0,0
MPC2_17,0,0
MPC2_18,0,0
MPC2_19,0,0
MPC2_20,0,0
MPC2_23,0,0
MPC2_25,0,0
MPC2_27,0,0
MPC2_28,0,0
MPC2_30,0,0
MPC2_31,0,0
MPC2_33,0,0
MPC2_34,0,0
MPC2_35,0,0
MPC2_36,0,0
MPC2_37,0,0
MPC2_38,0,0
MPC2_39,0,0
MPC2_40,0,0
MPC2_41,0,0
MPC2_43,0,0
MPC2_44,0,0
MPC2_46,0,0
MPC2_53,0,0
MPC2_54,0,0
MPC3_13,0,0
MPC3_14,0,1
MPC3_19,0,0
MPC3_20,0,0
MPC3_22,0,0
MPC3_24,0,0
MPC3_26,0,0
MPC3_28,0,0
MPC3_30,0,0
MPC3_32,0,0
MPC3_34,0,0
MPC3_38,0,0
MPC3_39,0,1
MPC3_40,0,0
MPC3_41,0,0
MPC3_42,0,1
MPC3_44,0,0
MPC3_45,0,0
MPC3_46,0,0
MPC3_47,0,0
MPC3_47*MPC8_120,0,0
MPC3_48,0,0
MPC3_49,0,0
MPC3_50,0,0
MPC3_52,0,0
MPC3_53,0,0
MPC3_54,0,0
MPC3_55,0,0
MPC3_58,0,0
MPC3_61,0,0
MPC3_70,0,0
MPC3_72,0,0
MPC4_12,0,1
MPC4_15,0,0
MPC4_19,0,0
MPC4_20,0,0
MPC4_21,0,0
MPC4_22,1,0
MPC4_23,0,0
MPC4_25,0,0
MPC4_27,0,0
MPC4_28,0,0
MPC4_29,0,0
MPC4_31,0,0
MPC4_32,0,0
MPC4_34,0,0
MPC4_35,0,0
MPC4_37,0,0
MPC4_43,0,0
MPC4_44,0,0
MPC4_45,0,0
MPC4_46,1,0
MPC4_47,0,0
MPC4_47*nHBDon_Lipinski_2,0,1
MPC4_48,0,1
MPC4_49,0,0
MPC4_51,0,0
MPC4_52,0,0
MPC4_53,0,0
MPC4_54,0,0
MPC4_55,0,0
MPC4_56,0,0
MPC4_58,0,0
MPC4_59,0,0
MPC4_60,0,0
MPC4_61,0,0
MPC4_61*MPC8_120,0,0
MPC4_62,0,0
MPC4_63,0,0
MPC4_64,0,0
MPC4_65,0,0
MPC4_67,0,0
MPC4_69,0,0
MPC4_70,0,0
MPC4_71,0,0
MPC4_72,0,0
MPC4_76,0,0
MPC4_92,0,0
MPC5_10,0,0
MPC5_117,0,0
MPC5_122,0,0
MPC5_18,0,0
MPC5_21,0,0
MPC5_22,0,0
MPC5_23,0,1
MPC5_24,0,0
MPC5_27,0,0
MPC5_28,0,0
MPC5_31,0,0
MPC5_32,0,0
MPC5_35,0,0
MPC5_36,0,0
MPC5_39,0,0
MPC5_42,0,0
MPC5_50,0,0
MPC5_54,0,0
MPC5_55,0,0
MPC5_57,0,0
MPC5_57*nHBDon_Lipinski_2,1,0
MPC5_59,0,0
MPC5_61,0,0
MPC5_63,0,0
MPC5_65,0,0
MPC5_67,0,0
MPC5_68,0,0
MPC5_69,0,0
MPC5_70,0,0
MPC5_72,0,0
MPC5_76,0,0
MPC5_77,0,0
MPC5_78,0,0
MPC5_79,0,0
MPC5_81,0,0
MPC5_83,0,0
MPC5_84,0,0
MPC5_85,0,0
MPC5_86,0,0
MPC5_87,1,1
MPC5_88,0,0
MPC5_89,0,0
MPC5_9,0,0
MPC5_93,0,0
MPC5_94,0,0
MPC6_104,0,0
MPC6_107,0,0
MPC6_130,0,0
MPC6_134,0,0
MPC6_14,0,0
MPC6_17,0,0
MPC6_18,0,0
MPC6_20,0,0
MPC6_24,0,1
MPC6_25,0,0
MPC6_27,0,0
MPC6_28,0,0
MPC6_30,0,0
MPC6_34,0,0
MPC6_35,0,0
MPC6_41,0,0
MPC6_48,0,0
MPC6_54,0,0
MPC6_55,0,0
MPC6_55*nHBDon_Lipinski_2,0,0
MPC6_57,0,0
MPC6_58,0,0
MPC6_61,0,0
MPC6_63,0,0
MPC6_66,0,0
MPC6_67,0,0
MPC6_70,0,0
MPC6_73,0,0
MPC6_74,0,0
MPC6_75,0,0
MPC6_76,0,0
MPC6_77,0,0
MPC6_78,0,0
MPC6_8,0,0
MPC6_80,0,0
MPC6_81,0,0
MPC6_83,0,0
MPC6_84,0,0
MPC6_84*MPC8_120,0,0
MPC6_85,0,0
MPC6_86,0,0
MPC6_87,0,0
MPC6_88,0,0
MPC6_88*MPC8_120,0,0
MPC6_89,0,0
MPC6_90,0,0
MPC6_94,0,0
MPC6_95,0,0
MPC6_96,0,0
MPC6_97,0,0
MPC6_99,0,0
MPC7_100,0,0
MPC7_101,0,0
MPC7_103,0,0
MPC7_104,0,0
MPC7_106,0,0
MPC7_109,0,0
MPC7_11,0,0
MPC7_112,0,0
MPC7_114,0,0
MPC7_116,0,0
MPC7_125,0,0
MPC7_13,0,0
MPC7_14,0,1
MPC7_150,0,0
MPC7_16,0,0
MPC7_163,0,0
MPC7_18,0,0
MPC7_20,0,0
MPC7_21,0,0
MPC7_23,0,0
MPC7_26,0,0
MPC7_32,0,0
MPC7_33,0,0
MPC7_4,0,0
MPC7_41,0,0
MPC7_52,0,0
MPC7_55,0,0
MPC7_58,0,1
MPC7_59,1,0
MPC7_60,0,0
MPC7_62,0,0
MPC7_63,0,0
MPC7_68,0,0
MPC7_69,0,0
MPC7_70,0,0
MPC7_73,0,0
MPC7_76,0,0
MPC7_8,0,0
MPC7_81,0,0
MPC7_82,0,0
MPC7_84,0,0
MPC7_85,0,0
MPC7_89,0,0
MPC7_90,0,0
MPC7_93,0,0
MPC7_97,0,0
MPC7_97*MPC8_120,0,0
MPC7_98,0,0
MPC8_100,0,0
MPC8_102,0,0
MPC8_104,0,0
MPC8_104*MPC8_120,0,0
MPC8_106,0,0
MPC8_107,0,0
MPC8_110,0,0
MPC8_111,0,0
MPC8_114,0,0
MPC8_114*MPC8_120,0,0
MPC8_115,0,0
MPC8_117,0,0
MPC8_118,0,0
MPC8_120,0,0
MPC8_121,0,0
MPC8_124,0,0
MPC8_129,0,0
MPC8_134,0,0
MPC8_14,0,0
MPC8_144,0,0
MPC8_17,0,0
MPC8_172,0,0
MPC8_18,0,0
MPC8_19,0,0
MPC8_194,0,0
MPC8_2,0,0
MPC8_20,0,0
MPC8_22,0,0
MPC8_25,1,0
MPC8_3,0,0
MPC8_32,0,0
MPC8_4,0,0
MPC8_41,0,0
MPC8_52,0,0
MPC8_6,0,0
MPC8_60,0,0
MPC8_61,0,0
MPC8_61*nHBDon_Lipinski_2,0,0
MPC8_63,0,0
MPC8_65,0,0
MPC8_70,0,0
MPC8_71,0,0
MPC8_75,0,0
MPC8_82,0,0
MPC8_83,0,0
MPC8_84,0,0
MPC8_90,0,1
MPC8_91,1,0
MPC8_94,0,0
MPC8_95,0,0
MPC8_98,0,0
MPC8_99,0,0
MPC9_0,0,0
MPC9_10,0,0
MPC9_101,0,0
MPC9_104,0,0
MPC9_108,0,0
MPC9_110,0,0
MPC9_112,0,0
MPC9_116,0,0
MPC9_120,0,0
MPC9_121,0,0
MPC9_121*MPC8_120,0,0
MPC9_122,0,0
MPC9_126,0,0
MPC9_128,0,0
MPC9_129,0,0
MPC9_139,0,0
MPC9_14,0,0
MPC9_142,0,0
MPC9_158,0,0
MPC9_16,0,0
MPC9_198,0,0
MPC9_220,0,0
MPC9_29,0,0
MPC9_3,0,0
MPC9_34,0,0
MPC9_41,0,0
MPC9_49,0,0
MPC9_5,0,0
MPC9_50,0,0
MPC9_50*nHBDon_Lipinski_2,0,0
MPC9_54,1,0
MPC9_56,0,0
MPC9_59,0,0
MPC9_6,0,0
MPC9_62,0,0
MPC9_63,0,0
MPC9_66,0,0
MPC9_70,0,0
MPC9_71,0,0
MPC9_78,0,0
MPC9_8,0,0
MPC9_83,0,0
MPC9_85,0,1
MPC9_9,0,0
MPC9_92,0,0
MPC9_94,0,0
MPC9_95,0,0
MPC9_98,0,0
MW,0,0
MWC10,0,0
MWC2,0,0
MWC3,0,0
MWC4,0,0
MWC5,0,0
MWC6,0,0
MWC7,0,0
MWC8,0,0
MWC9,0,0
Mare,0,0
McGowan_Volume,0,0
Mi,0,0
Mp,0,0
Mpe,0,0
Mse,0,0
Mv,0,0
PetitjeanNumber,0,0
R_TpiPCTPC,0,0
RotBFrac,0,0
RotBtFrac,0,0
SHBa,0,0
SHBd,0,0
SHBint10,0,0
SHBint2,0,0
SHBint3,0,0
SHBint4,0,0
SHBint5,0,0
SHBint6,0,0
SHBint7,0,0
SHBint9,0,0
SHCsats,0,0
SHCsatu,0,0
SHaaCH,0,0
SHaaNH,0,0
SHdsCH,0,0
SHother,0,0
SHsNH2,0,0
SHsOH,0,0
SHssNH,0,0
SIC0,0,0
SIC1,0,0
SIC2,0,0
SIC3,0,0
SIC4,0,0
SIC5,0,0
SM1_DzZ,0,0
SM1_Dze,0,0
SM1_Dzi,0,1
SM1_Dzm,0,0
SM1_Dzp,0,1
SM1_Dzs,0,0
SM1_Dzv,0,1
SRW10,0,0
SRW2,0,0
SRW4,0,0
SRW5,0,1
SRW6,0,0
SRW7,0,1
SRW8,0,0
SRW9,0,0
SaaCH,1,0
SaaN,0,0
SaaNH,0,0
SaaS,0,0
SaaaC,0,0
SaasC,0,1
SaasN,0,0
Sare,0,0
SdO,1,0
SddssS,0,0
SdsCH,0,0
SdsN,0,0
SdssC,0,0
Si,0,0
Sp,0,0
SpAD_D,0,0
SpAD_Dt,0,0
SpAD_DzZ,0,0
SpAD_Dze,0,0
SpAD_Dzi,0,0
SpAD_Dzm,0,0
SpAD_Dzp,0,0
SpAD_Dzs,0,0
SpAD_Dzv,0,0
SpAbs_DzZ,0,0
SpAbs_Dze,0,0
SpAbs_Dzi,0,0
SpAbs_Dzm,0,0
SpAbs_Dzp,0,0
SpAbs_Dzs,0,0
SpAbs_Dzv,0,0
SpDiam_D,0,0
SpDiam_Dt,0,0
SpDiam_DzZ,0,0
SpDiam_Dze,0,0
SpDiam_Dzi,0,0
SpDiam_Dzm,0,0
SpDiam_Dzp,0,0
SpDiam_Dzs,0,0
SpDiam_Dzv,0,0
SpMAD_D,0,0
SpMAD_Dt,0,0
SpMAD_DzZ,0,0
SpMAD_Dze,0,0
SpMAD_Dzi,0,0
SpMAD_Dzm,0,0
SpMAD_Dzp,0,0
SpMAD_Dzs,0,0
SpMAD_Dzv,0,0
SpMax1_Bhe,0,0
SpMax1_Bhi,0,0
SpMax1_Bhm,0,0
SpMax1_Bhp,0,0
SpMax1_Bhs,0,0
SpMax1_Bhv,0,0
SpMax2_Bhe,0,0
SpMax2_Bhi,0,0
SpMax2_Bhm,0,0
SpMax2_Bhp,0,0
SpMax2_Bhs,0,0
SpMax2_Bhv,0,0
SpMax3_Bhe,0,0
SpMax3_Bhi,0,0
SpMax3_Bhm,0,0
SpMax3_Bhp,0,0
SpMax3_Bhs,0,0
SpMax3_Bhv,0,0
SpMax4_Bhe,0,0
SpMax4_Bhi,0,0
SpMax4_Bhm,0,0
SpMax4_Bhp,0,0
SpMax4_Bhs,0,0
SpMax4_Bhv,0,0
SpMax5_Bhe,0,0
SpMax5_Bhi,0,0
SpMax5_Bhm,0,0
SpMax5_Bhp,0,0
SpMax5_Bhs,0,0
SpMax5_Bhv,0,0
SpMax6_Bhe,0,0
SpMax6_Bhi,0,0
SpMax6_Bhm,0,0
SpMax6_Bhp,0,0
SpMax6_Bhs,0,0
SpMax6_Bhv,0,0
SpMax7_Bhe,0,0
SpMax7_Bhi,0,0
SpMax7_Bhm,0,0
SpMax7_Bhp,0,0
SpMax7_Bhs,0,0
SpMax7_Bhv,0,0
SpMax8_Bhe,0,0
SpMax8_Bhi,0,0
SpMax8_Bhm,0,0
SpMax8_Bhp,0,0
SpMax8_Bhs,0,0
SpMax8_Bhv,0,0
SpMax_D,0,0
SpMax_Dt,0,0
SpMax_DzZ,0,0
SpMax_Dze,0,0
SpMax_Dzi,0,0
SpMax_Dzm,0,0
SpMax_Dzp,0,0
SpMax_Dzs,0,0
SpMax_Dzv,0,0
SpMin1_Bhe,0,0
SpMin1_Bhi,0,0
SpMin1_Bhm,0,0
SpMin1_Bhp,0,0
SpMin1_Bhs,0,0
SpMin1_Bhv,0,0
SpMin2_Bhe,0,0
SpMin2_Bhi,0,0
SpMin2_Bhm,0,0
SpMin2_Bhp,0,0
SpMin2_Bhs,0,0
SpMin2_Bhv,0,0
SpMin3_Bhe,0,0
SpMin3_Bhi,0,0
SpMin3_Bhm,0,0
SpMin3_Bhp,0,0
SpMin3_Bhs,0,0
SpMin3_Bhv,0,0
SpMin4_Bhe,0,0
SpMin4_Bhi,0,0
SpMin4_Bhm,0,0
SpMin4_Bhp,0,0
SpMin4_Bhs,0,0
SpMin4_Bhv,0,0
SpMin5_Bhe,0,0
SpMin5_Bhi,0,0
SpMin5_Bhm,0,0
SpMin5_Bhp,0,0
SpMin5_Bhs,1,0
SpMin5_Bhv,0,0
SpMin6_Bhe,0,0
SpMin6_Bhi,0,0
SpMin6_Bhm,0,0
SpMin6_Bhp,0,0
SpMin6_Bhs,0,0
SpMin6_Bhv,0,0
SpMin7_Bhe,0,1
SpMin7_Bhi,0,1
SpMin7_Bhm,0,0
SpMin7_Bhp,0,0
SpMin7_Bhs,0,0
SpMin7_Bhv,0,0
SpMin8_Bhe,0,0
SpMin8_Bhi,0,0
SpMin8_Bhm,0,0
SpMin8_Bhp,0,0
SpMin8_Bhs,0,0
SpMin8_Bhv,0,0
Spe,0,0
SsBr,0,0
SsCH3,0,0
SsCl,0,0
SsF,0,0
SsI,0,0
SsNH2,0,0
SsOH,0,0
