features
ATSC2p
GATS2v_cubert
GATS7e
SpAbs_Dzi
SpAD_D
SpAD_Dze
EE_D
SpMax_D
VR3_Dzp
EE_Dzi
VR3_Dzi_cubert
VR3_Dzi_sqrt
SpMin5_Bhe
SsssN
minsssB
minssO
ETA_Shape_Y_log10
MDEN-22_exp
GGI7
JGI4_log2
JGI4_sqrt
JGI4_exp2
naAromAtom_9
nAromBond_10
nAromBond_11
nAtom_22
nHeavyAtom_13
nC_12
nF_3
nBondsS2_9
nBondsS2_36
nBondsD2_3
nBondsM_2
nBondsM_8
nHBint2_4
nHBint4_1
nHother_8
naaCH_8
nHCsats_2
ndsCH_1
ndssC_2
naasC_5
MPC3_19
WPOL_31
MPC5_78
MPC6_35
MPC6_95
MPC7_11
MPC7_104
MPC8_82
MPC9_16
MPC9_85
MPC10_32
TPC_147
nT6HeteroRing_0
WPATH_234
WPATH_1724
Zagreb_114
AATS6p_cube
AATS6p_exp2
AATS6p_sq
AATS6p_exp
ATSC0e_exp2
ATSC1e_sq
ATSC3s_cube
AATSC1m_sq
AATSC7e_sq
AATSC2i_sq
MATS7c_sq
MATS4m_cube
MATS2e_sq
MATS2p_sq
MATS5p_sq
GATS5c_sq
GATS7e_exp2
GATS2p_sq
GATS5i_sq
VR3_Dze_log10
VR1_Dzp_log2
VR1_Dzp_log10
VR1_Dzp_log
VR2_Dzp_log2
VR2_Dzp_log
VR2_Dzp_log10
SpMax5_Bhp_exp2
SpMax5_Bhp_cube
SpMin8_Bhi_log
SpMin8_Bhs_cubert
VE1_Dt_sq
VE2_Dt_cube
VE2_Dt_sq
VE3_Dt_exp2
VE3_Dt_exp
SsssB_cube
SaaNH_exp
maxHBint9_exp
maxHBint9_cube
maxaaaC_exp2
Kier2_sq
Kier3_sq
MDEC-44_exp2
JGI4_cube
JGI10_cube
JGI10_sq
VR3_D_cube
VR3_D_sq
